1,21,1,MPUの高速化技術の一つであるスーパスカラの特徴として、適切なものはどれか。,同時に実行可能な複数の動作をまとめて一つの命令として実行する。,独立した複数の命令ストリームを用意し、これらの実行を切り替えながら行う。,パイプラインの深さを増すとともに、パイプラインピッチを短くして、平均命令実行時間を短縮する。,パイプラインを複数用意し、同時に複数の命令を実行する。,エ,;
14,21,14,ディジタルシグナルプロセッサ（DSP）の特徴のうち、適切なものはどれか。,A/D変換及びD/A変換の機能を内蔵しているので、アナログ信号を制御するのに適している。,高速演算器を内臓しているので、大規模な数値計算に適している。,シリアル入出力ボードに誤り訂正機能を内蔵しているので、通信制御に適している。,積和演算、浮動小数点演算などの機能を内蔵しているので、ディジタルフィルタを実現するのに適している。,エ,;
15,21,15,センサが出力するアナログ電圧をマイコンに取り込むための構成として、適切なものはどれか。,,,,,ウ,21-15;
16,21,16,WAITが入らないときには4クロックでメモリアクセスするMPUがある。メモリアクセスが最も速い組合せはどれか。,,,,,エ,21-16;
17,21,17,複数のLANを接続するために用いる装置で、OSI基本参照モデルのデータリンク層のプロトコル情報に基づいてデータを中継する装置はどれか。,ゲートウェイ,ブリッジ,リピータ,ルータ,イ,;
18,21,18,TCP、UDPのポート番号を識別し、プライベートIPアドレスとグローバルIPアドレスとの対応関係を管理することによって、プライベートIPアドレスを使用するLANの複数の端末が、一つのグローバルIPアドレスを共有してインターネットにアクセスする仕組みはどれか。,IPスプーフィング,IPマルチキャスト,NAPT,NTP3,ウ,;
19,21,19,スパムメールの対策として、あて先ポート番号25番のメールに対しISPが実施するOP25Bの説明はどれか。,ISP管理外のネットワークからの受信メールのうち、スパムメールのシグネチャに該当するメールを遮断する。,動的IPアドレスを割り当てたネットワークからISP管理外のネットワークに直接送信されたメールを遮断する。,メール送信元のメールサーバについてDNSの逆引きができない場合、そのメールサーバからのメールを遮断する。,メール不正中継の脆弱性をもつメールサーバからの受信メールを遮断する。,イ,;
20,21,20,インターネットで公開するソフトウェアにディジタル署名を添付する目的はどれか。,ソフトウェアの作成者が保守責任者であることを告知する。,ソフトウェアの使用を特定の利用者に制限する。,ソフトウェアの著作権者が署名者であることを明示する。,ソフトウェアの内容が改ざんされていないことを確認できるようにする。,エ,;
21,21,21,フェールセーフの考えに基づいて設計したものはどれか。,RAID2を採用してハードディスクのMTBFが従来製品の2倍になるようにする。,乾電池のプラスとマイナスを逆にすると乾電池が入らないようにする。,交通管制システムが故障したときには、信号機に赤色が点灯するようにする。,ネットワークカードのコントローラを二重化しておき、故障したときには故障したコントローラを切り離して運用する。,ウ,;
22,21,22,事象駆動（イベントドリブン）プログラムの開発に際して行う事象応答分析の説明として、適切なものはどれか。,システム化の対象を実体と関連を用いてモデル化し、その構造を分析する。,システムの改善案を検討する場合などに、ある事象について思いつく様々な着想を図にまとめ、参加者がこれを基に別の視点に立った新しい発想を生み出す,発生した事象に対して、システムが応答する一連の動作を分析する。,四つの要素（データ、情報、機能及び条件）の相互関係を定義し、システムの機能を入力データ及び出力情報の両面から分析する。,ウ,;
23,21,23,ハードウェアの保守点検及び修理作業を実施するときに、運用管理者が実施すべき、事前又は事後の確認に関する説明のうち、適切なものはどれか。,システムが自動的に回復処置を行った障害については、障害前後のエラーログが残っているので、障害原因や対応処置の報告ではなく、ログの分析結果を確認する。,定期保守時の点検項目は事前に分かっているので、事前と事後の確認は省略できるが、作業の開始と終了については、保守作業者に確認する。,予防保守を遠隔保守方式で行う場合、遠隔地のシステムへの影響は出ないので、作業内容などの事前確認は行わず、事後に作業実施結果を確認する。,臨時保守の場合、事前に保守作業者が障害の発生状況を確認したことを確認し、事後に障害原因や作業実施結果を確認する。,エ,;
24,21,24,ソフトウェア開発のプロセスモデルのうち、開発サイクルを繰り返すことによって、システムの完成度を高めていくプロセスモデルはどれか。,RADモデル,ウォータフォールモデル,スパイラルモデル,プロトタイピングモデル,ウ,;
25,21,25,ソフトウェアを保守するときなどに利用される技術であるリバースエンジニアリングの説明はどれか。,ソースプログラムを解析してプログラム仕様書を作る。,ソースプログラムを探索して修正箇所や影響度を調べる。,ソースプログラムを見直して構造化プログラムに変換する。,ソースプログラムを分かりやすい表現に書き換える。,ア,;
26,22,1,反転増幅器はどれか。,,,,,ア,22-1;
27,22,2,すべての命令が5サイクルで完了するように設計された、パイプライン制御のコンピュータがある。20命令を実行するには何サイクル必要となるか。ここで、すべての命令は途中で停止することなく実行でき、1ステージは1サイクルで動作を完了するものとする。,20,21,24,25,ウ,;
28,22,3,DMAの説明として、適切なものはどれか。,CPUが磁気ディスクと主記憶とのデータの受渡しを行う転送方式である。,主記憶の入出力専用アドレス空間に入出力装置のレジスタを割り当てる方式である。,専用の制御回路が入出力装置や主記憶などの間のデータ転送を行う方式である。,複数の命令の実行ステージを部分的にオーバラップさせて同時に処理し、全体としての処理時間を短くする方式である。,ウ,;
29,22,4,表のインターバルタイマを用いて約20ミリ秒ごとにタイマ割込みを発生させたいとき、16ビットタイマコンペアレジスタに設定する値は10進数で幾つか。ここで、システムクロックは32MHzとする。,1,19,1999,19999,エ,22-4;
30,22,5,コンピュータの性能評価には、シミュレーションによって行う方法や解析的な方法などがある。シミュレーションによって行う方法の特徴はどれか。,解析的な方法よりも計算量が少なく、効率的に解が求まる。,解析的な方法よりも、乱数を用いることで高精度の解が得られる。,解析的に解が求められないモデルに対しても、数値的に解が求まる。,解析的に解が求められるモデルの確認に有効である。,ウ,;
31,22,6,コンピュータシステムにおいて、性能改善手法を適用した機能部分の全体に対する割合をR (0 ＜ R ＜1)、その部分の性能改善手法適用前に対する適用後の性能比をAとする。このとき、システム全体の性能改善手法適用前に対する適用後の性能比を表す式はどれか。,,,,,イ,22-6;
32,22,7,記憶管理におけるオーバレイ方式の記述として、適切なものはどれか。,セグメントをページに分割し、ページ単位に退避と読込みを行う。,退避したプログラムが再び必要になった場合は、それを主記憶に読み込む。,必要がなくなったセグメントの領域に、次に実行するセグメントが上書きされる。,優先度の高いプログラムを実行するために、優先度の低いプログラムを主記憶から追い出す。,ウ,;
33,22,8,主記憶管理に関する記述のうち、適切なものはどれか。,LRUアルゴリズムとは、主記憶中で最も早く主記憶にロードされたページをページアウトするアルゴリズムである。,仮想記憶とは、主記憶の容量以上の記憶空間を提供する機能である。,スラッシングを防ぐためには、システムの多重度を上げることが有効である。,デマンドページングとは、プログラムの実行時に必要な実効モジュールを動的にリンクすることである。,イ,;
34,22,9,NFS (Network File System) の特徴に関する記述のうち、適切なものはどれか。,Windowsサーバに構築されるデバイス共有システムであり、ファイル単位ではなく磁気ディスクイメージで処理を行うので、データのバックアップやリカバリを高速に行うことができる。,主にUNIXで利用されるファイル共有システムであり、離れた場所にあるコンピュータのファイルを、あたかも自分のコンピュータのファイルのように操作することができる。,ファイル共有用のサーバを構築する必要がなく、また、ファイルを複製することなく複数のパスから参照することができるので、磁気ディスクの有効利用や管理の手間を軽減できる。,補助記憶装置とコンピュータの間をファイバチャネルを用いた高速なネットワークで接続し、ブロック単位のデータ送受信を行うことができる。,イ,;
35,22,10,動的リンキングの機能はどれか。,プログラムの実行中に、主記憶を有効に利用するためにプログラムを再配置する。,プログラムの実行中に、必要になったモジュールを共用ライブラリやシステムライブラリからロードする。,プログラムの実行中に、読み込まれたページの論理アドレスを物理アドレスに変換する。,プログラムの実行に先立って、複数の目的プログラムを連携編集（リンケージエディット）する。,イ,;
36,22,11,GPLで公開されたOSSを使用するに当たって、ソースコードの公開義務が発生するのはどの場合か。,ソフトウェアの一部を改変し再配布する。,ソフトウェアのソースコードを入手する。,ソフトウェアを動作環境にインストールする。,動作環境にインストールしたソフトウェアを動作させる。,ア,;
37,22,12,図は二重積分方式A/D変換器によるA/D変換の信号波形を示している。図の波形B（破線）と比べた波形A（実線）を示す状態として、適切な組合せはどれか。,,,,,エ,22-12;
38,22,13,LED点灯回路の動作として、適切な組合せはどれか。,,,,,ウ,22-13;
39,22,14,図に示すPLLがロック状態の場合、出力周波数foutを基準周波数frefで表したものはどれか。ここで、分周器の分周比はNとする。,fref/N,N/fref,1/Nfref,Nfref,エ,22-14;
40,22,15,プログラムと定数をROMから読みだすために、アドレスバスとチップセレクト信号(CS)を図のように接続した。アドレスバスはA0がLSBである。このROMにアクセスできるメモリアドレスの範囲はどれか。ここで、解答群の数値は16進数で表記してある。,0000 ～ 1FFF,4000 ～ 7FFF,4000 ～ FFFF,C000 ～ FFFF,ウ,22-15;
41,22,16,アドレスバスとデータバスを共用するMPUにEPROMを接続するため、図の回路構成にする。この場合、ラッチ制御信号として、適切なものはどれか。ここで、ラッチ回路は、ラッチ制御信号がHレベルなら入力を通過させ、Lレベルになるとそれを保持するものとする。,,,,,ア,22-16;
42,22,17,回路の端子Xに図に示す幅5ミリ秒のパルス信号を入力したときに端子Yに現れる信号波形として、適切なものはどれか。ここで、RC回路の時定数τを約1ミリ秒、ゲート遅延はτに比べて十分に小さいものとする。,,,,,イ,22-17;
43,22,18,イーサネットのMACアドレスは何ビットか。,32,48,64,128,イ,;
44,22,19,暗号方式に関する説明のうち、適切なものはどれか。,共通鍵暗号方式で相手ごとに秘密の通信をする場合、通信相手が多くなるに従って、鍵管理の手間が増える。,共通鍵暗号方式では、送信側と受信側で異なった鍵を用いるので、鍵の機密性が高い。,公開鍵暗号方式で通信文を暗号化して内容を秘密にした通信をするときには、復号鍵を公開することによって、鍵管理の手間を減らす。,公開鍵暗号方式では、署名に用いる鍵を公開しても構わない。,ア,;
45,22,20,論理データモデル作成におけるトップダウンアプローチ、ボトムアップアプローチに関する記述として、適切なものはどれか。,トップダウンアプローチでは、新規システムの利用者要求だけに基づいて論理データモデルを作成するので、現状業務の分析は行えない。,トップダウンアプローチでもボトムアップアプローチでも、最終的な論理データモデルは正規化され、かつ、業務上の属性はすべて備えていなければならない。,トップダウンアプローチでもボトムアップアプローチでも、利用者が使用する現状の画面や帳票を素材として分析を行うのは同じである。,ボトムアップアプローチは現状業務の分析に用いるものであり、新規システムの設計ではトップダウンアプローチを使用する。,イ,;
46,22,21,モジュールの独立性を高めるには、モジュール結合度を弱くする必要がある。モジュール間の情報の受渡し方法のうち、モジュール結合度が最も弱いものはどれか。,共通域に定義したデータを、関係するモジュールが参照する。,制御パラメタを引数として渡し、モジュールの実行順序を制御する。,入出力に必要なデータ項目だけをモジュール間の引数として渡す。,必要なデータを外部宣言して共有する。,ウ,;
47,22,22,図は、デマルコの提唱による構造化技法を基本としたシステム開発プロジェクトのライフサイクルを表現したものである。図中のaに入れる適切なフェーズはどれか。,機能設計,構造化設計,プログラム設計,プロトタイピング,イ,22-22;
48,22,23,プリエンプティブな優先度ベーススケジューリングで動作する三つの周期タスクA、B、Cがある。タスクCが実行可能になってから完了するまでの時間は最大何ミリ秒か。,300,550,600,700,ウ,22-23;
49,22,24,実験計画法を利用したテストデータ作成方法として、適切なものはどれか。,効率よくテストするために、直交表を用いてテストデータを作成する。,データを、同じ特性をもつ幾つかのグループに分割し、各グループの境界値をテストデータとする。,データを、同じ特性をもつ幾つかのグループに分割し、各グループの代表値をテストデータとする。,入力と出力を洗い出し、その間の因果関係を一定の規約によってグラフ化し、このグラフから作成した決定表に基づいてテストデータを作成する。,ア,;
50,22,25,SOA (Service Oriented Architecture) の説明はどれか。,Webサービスを利用するためのインタフェースやプロトコルを規定したものである。,XMLを利用して、インターネット上に存在するWebサービスを検索できる仕組みである。,業務機能を提供するサービスを組み合わせることによって、システムを構築する考え方である。,サービス提供者と委託者との間でサービスの内容、範囲及び品質に対する要求水準を明確にして、あらかじめ合意を得ておくことである。,ウ,;
51,23,1,16ビットのダウンカウントのカウンタを用い、そのカウンタの値が0になると割込みを発生するハードウェアタイマがある。カウンタに初期値として10進数の150をセットしてタイマをスタートすると、最初の割込みが発生するまでの時間は何マイクロ秒か。ここで、タイマクロックは16MHzを32分周したものとする。,0.3,2,150,300,エ,;
52,23,2,セットアソシアティブ方式のキャッシュメモリを含めたメモリシステムの平均メモリアクセス時間を短縮するために行う対策のうち、ライト時のミスペナルティを増加させるものはどれか。,ウェイ数を増加させる。,エントリ数を増やす。,仮想アドレス変換時間をなくす。,ブロックサイズを大きくする。,エ,;
53,23,3,バスプロトコルに関する記述のうち、適切なものはどれか。,バスアービタがバスの調停を行い、調停の結果、使用権を取得した装置がバスを使用する。,バススレーブがアドレスを出力して、転送相手の装置とその装置内の転送対象を指定する。,バススレーブは、バスを使用したデータ転送が終了すると、各信号線の駆動を停止する。,バスマスタが、バスを時分割で使用するように調停を行うことによって、複数の装置がバスを使用できる。,ア,;
54,23,4,多重にハードウェア割込みが発生する組込みシステムにおけるISR（Interrupt Service Routing)の処理の説明のうち、適切なものはどれか。,ISR処理時間が長い順に高い割込み優先度を与えると、システム全体のリアルタイム応答性が向上する。,ISR処理中に、ほかの割込み要求を抑止する場合は、セマフォを用いる。,最大割込み処理時間は、すべてのISR処理時間の合計であり、最も優先度の高い割込みが発生してから、そのISR処理の完了までの時間に相当する。,低い優先度の割込みによるISR処理中に割込み禁止を行うと、その間に発生した高い優先度の割込みに対するISR応答時間は長くなる。,エ,;
55,23,5,1画素当たり24ビットのカラー情報をビデオメモリに記憶する場合、横1024画素、縦768画素の画面表示に必要なメモリ量は、約何Mバイトか。ここで、1Mバイトは10^6バイトとする。,0.8,2.4,6.3,18.9,イ,;
56,23,6,故障発生率が1.0×10^-6回／秒である機器10000台が稼働している。330時間経過後に、故障していない機器の平均台数に最も近いものはどれか。ここで、故障発生率は経過時間によらず一定で、故障した機器は修理しない。また、必要であれば、故障率をλ回／秒、稼働時間をt秒とする次の指数関数のグラフから値を読み取って、計算に使用してよい。,3000,5000,7000,9000,ア,23-6;
57,23,7,リアルタイムOSにおけるコンテキストの使用方法に関する記述のうち、適切なものはどれか。,アプリケーションタスクを、アプリケーションタスク共有のコンテキストで実行させる。,アプリケーションタスクを、カーネルのコンテキストで実行させる。,カーネルを、アプリケーションタスクのコンテキストで実行させる。,割込み処理を、割込み処理ごとのコンテキストで実行させる。,エ,;
58,23,8,タスクが発行するシステムコールと発行後の状態遷移先との組合せとして、起こり得るものはどれか。,,,,,ウ,23-8;
59,23,9,優先度に基づくプリエンプティブスケジューリングのリアルタイムOSを使用した組込みシステムで、入力装置及び出力装置にアクセスする二つのタスクX、Yがある。XはYより優先度が低く、Yが待ち状態となったときにXに処理が戻る。X、Yのアクセスを排他制御するために、入力装置及び出力装置それぞれに資源数1のセマフォを用意し、X、Yを図のように実装したとき、デッドロックが発生するのはXが処理中のどのタイミングでYが起床したときか。ここで、Yは起床するとαから処理を行うこととする。,A,B,C,D,イ,23-9;
60,23,10,ソフトウェア開発におけるリポジトリの説明はどれか。,開発を支援するために提供されるソフトウェア部品のデータベースのことである。,ソフトウェアの開発及び保守における設計情報やプログラムを一元的に管理するためのデータベースのことである。,ソフトウェアを開発するためのツールやデータモデルを格納するためのデータベースのことである。,リバースエンジニアリングを行うためのソースコード解析用ソフトウェアや解析結果を格納するためのデータベースのことである。,イ,;
61,23,11,OSS (Open Source Software)における、ディストリビュータの役割はどれか。,OSSやアプリケーションソフトを組み合わせて、パッケージにして提供する。,OSSを開発し、活動状況をWebで公開する。,OSSを稼働用のコンピュータにインストールし、動作確認を行う。,OSSを含むソフトウェアを利用したシステムの提案を行う。,ア,;
62,23,12,LSIの省電力制御技術であるパワーゲーティングの説明として、適切なものはどれか。,動作する必要のない回路ブロックに供給しているクロックを停止することによって、商品電力を減らす。,動作する必要のない回路ブロックへの電力供給を遮断することによって、リーク電流を減らす。,半導体製造プロセスの微細化によって生じるリーク電流を、プロセス技術の改良によって減らす。,複数の電圧の電源供給によって、動作周波数の低い回路ブロックには低い電源電圧を供給することで、動作時電力及びリーク電流を減らす。,イ,;
63,23,13,論理回路の入力A、Bに図の信号を与えたときのCの出力波形はどれか。,,,,,イ,23-13;
64,23,14,A/D変換に関する記述のうち、適切なものはどれか。,サンプリング周期が短いほど、高い周波数の信号まで変換できる。,ナイキスト周波数を超える入力信号は、ディジタルフィルタで補正することによって正しく変換できる。,入力信号よりもノイズの周波数が高い場合、ハイパスフィルタを用いることによって正しく変換できる。,変換時間が短いほど、高い分解能で変換できる。,ア,;
65,23,15,DCモータのPWM制御方法はどれか。,パルス周期によって、モータの回転角を制御する。,パルス数によって、モータの回転角を制御する。,パルス数によって、モータの回転数を制御する。,パルスのデューティ比によって、モータの回転数を制御する。,エ,;
66,23,16,マイコンの出力ポートに接続されたランプ回路を図に示す。ランプが点灯するのはどの場合か。,,,,,ア,23-16;
67,23,17,MPUがもつウェイト機能とレディ機能の使い方として、適切なものはどれか。,MPUとDMAコントローラとのバス調停を行う。,OSが実行すべきタスクがないときに、MPUをウェイト状態とする。,アクセス速度の遅いメモリにMPUを同期させる。,入出力装置の処理完了をMPUに知らせる。,ウ,;
68,23,18,TCP/IPネットワークで使用されるARPの説明として、適切なものはどれか。,IPアドレスからMACアドレスを得るためのプロトコル,IPアドレスからホスト名（ドメイン名）を得るためのプロトコル,MACアドレスからIPアドレスを得るためのプロトコル,ホスト名（ドメイン名）からIPアドレスを得るためのプロトコル,ア,;
69,23,19,ICカードの耐タンパ性を高める対策はどれか。,ICカードとICカードリーダとが非接触の状態で利用者を認証して、利用者の利便性を高めるようにする。,故障に備えてあらかじめ作成した予備のICカードを保管し、故障時に直ちに予備カードに交換して利用者がICカードを使い続けられるようにする。,信号の読出し用プロープの取付けを検出するとICチップ内の保存情報を消去する回路を設けて、ICチップ内の情報を容易に解析できないようにする。,退職者のICカードは業務システム側で利用を停止して、ほかの利用者が使用できないようにする。,ウ,;
70,23,20,図は、階層化されたDFDにおける、あるレベルのDFDの一部である。プロセス1を子プロセスに分割して詳細化したDFDのうち、適切なものはどれか。ここで、プロセス1の子プロセスは、プロセス1-1、1-2及び1-3と表す。,,,,,イ,23-20;
71,23,21,次のE-R図の解釈として、適切なものはどれか。ここで*　*は多対多の関連を表し、自己参照は除くものとする。,ある組織の親組織の数が、子組織の数より多い可能性がある。,すべての組織は必ず子組織をもつ。,組織は2段階の階層構造である。,組織はネットワーク構造になっていない。,ア,23-21;
72,23,22,マイコンのJTAGを利用したデバッガの説明として、適切なものはどれか。,RAMを擬似的にROMに見立ててプログラムをロードし、モニタプログラムがMPUに割込みをかけながらプログラムのデバッグを行う。,実機のマイコンを取り外し、マイコンのソケット部に当該マイコンをエミュレーションするプロセッサ及びソフトウェアが搭載されたICEを装着して、デバッグを行う。,ターゲットROMに、デバッグ対象プログラムを制御するプログラムを常駐させておき、PCと通信しながら、デバッグを行う。,マイコン自身にデバッグに必要となる機能が内蔵されており、それを外部から制御するための端子がある。この端子を利用してデバッグを行う。,エ,;
73,23,23,組込みシステムにおけるコデザインの説明として適切なものはどれか。,開発工程を分析、設計、開発、検証の工程に分け、検証から再度分析に戻り、この工程を繰り返すことで仕様を満たしていることを確認していく手法,上流工程段階で、ハードウェアとソフトウェアとの機能分担を協調シミュレーションによって十分検証することで、仕様を満たしていることを確認していく手法,ハードウェアとソフトウェアとの開発を独立に並行して行った後、両者を組み合わせて総合テストを行うことで、仕様を満たしていることを確認していく手法,要求定義、設計、制作、試験、保守の順序で開発を進め、各工程でそれぞれの成果物を確認し、前工程には戻らないことを前提に各工程を完了させていく手法,イ,;
74,23,24,プログラムの誤りの一つに、繰返し処理の判定条件としてA≧aとすべきところをA＞aとコーディングすることがある。このような誤りを見つけ出すために有効なテストケース設計技法はどれか。ここで、Aは変数、aは定数とする。,限界値分析,条件網羅,同値分割,分岐網羅,ア,;
75,23,25,CMMIを説明したものはどれか。,ソフトウェア開発組織及びプロジェクトのプロセスの成熟度を評価するためのモデルである。,ソフトウェア開発のプロセスモデルの一種である。,ソフトウェアを中心としたシステム開発及び取引のための共通フレームのことである。,プロジェクトの成熟度に応じてソフトウェア開発の手順を定義したモデルである。,ア,;
76,24,1,プロセッサの省電力技術の一つであるパワーゲーティングの説明として、適切なものはどれか。,仕事量に応じて、プロセッサへ供給する電源電圧やクロック周波数を変える。,動作していない回路ブロックへのクロックを停止する。,動作していない回路ブロックへの電源を遮断する。,マルチコアプロセッサにおいて、使用していないコアの消費電力枠を、動作しているコアに割り当てる。,ウ,;
77,24,2,同一メモリ上で転送するとき、転送元の開始アドレス、転送先の開始アドレス、方向フラグ及び転送語数をパラメタとして指定することでブロック転送ができるCPUがある。図のようにアドレス1001から1004の内容をアドレス1003から1006に転送するとき、パラメタとして適切なものはどれか。ここで、転送は開始アドレスから1語ずつ行われ、方向フラグに0を指定するとアドレスの昇順に、1を指定するとアドレスの降順に転送を行うものとする。,,,,,エ,24-2;
78,24,3,車載LANの規格の一つであるCAN（Controller Area Network)の説明として、適切なものはどれか。,信号チャネルが2チャネルあるので、片方のチャネルで障害があっても、もう一方のチャネルで通信を継続することができる。,ネットワーク内の一つのノードだけがマスタノードとなり、通信スケジュールを管理する。,ネットワークに接続されたノードに対し、決められたサイクルタイムで通信を行う。,ネットワークに接続されたノードに対し、優先度の高いデータフレームを送信するノードが優先的に通信を行う。,エ,;
79,24,4,I2C (Inter-Integrated Circuit)バスの特徴として、適切なものはどれか。,2線式のシリアルインタフェースで複数のデバイスを接続する。,4線式のシリアルインタフェースで複数のデバイスを接続する。,ハブを介して1対多のツリー型に接続する。,一つのチャネルに1台のデバイスを接続する。,ア,;
80,24,5,図のように3個の装置を並列と直列に組み合わせて構成したシステムがある。装置単体の稼働率と、システムの稼働率の関係を示したグラフはどれか。ここで、3個の装置の稼働率は、全て等しいものとする。,,,,,エ,24-5;
81,24,6,セマフォの基本操作であるP操作、V操作に関する記述のうち、適切なものはどれか。,P操作とV操作は交互に行わなければならない。,P操作は資源のロック、V操作は資源のアンロックを実現するのに使用できる。,P操作は事象の発生通知、V操作は事象の待合せに用いられる。,P操作はセマフォ変数の値を増加させ、V操作は減少させる。,イ,;
82,24,7,FIFOで処理されるメールボックスに関する操作で、タスクが待ち状態に遷移するものはどれか。,受信待ちをしているタスクが存在するメールボックスに対して受信要求をしたとき,受信待ちをしているタスクが存在するメールボックスに対して送信要求をしたとき,メッセージが存在するメールボックスに対して受信要求をしたとき,メッセージが存在するメールボックスに対して送信要求をしたとき,ア,;
83,24,8,デバイスドライバをアプリケーションタスクとして作成する場合の記述として、適切なものはどれか。,カーネルがデバイスに対するアクセスを統一的に管理できる。,カーネル内部のインタフェースに従って作成しなくてはならない。,通常のタスクと異なり、割込み処理をそのタスク内に定義する。,リクエスト処理部はシステムコールのサブルーチンとして実行される。,ウ,;
84,24,9,優先度に基づくプリエンプティブスケジューリングが行われる二つのタスクA、Bがある。優先度はAの方が高く、制約条件は表のとおりである。Bが実行中、割込みによってAに実行を移すとき、A、Bともにデッドラインを超えないためには、割込みハンドラを何マイクロ秒以内で処理する必要があるか。ここで、割込み発生から割込みハンドラが起動するまでの時間、及びタスク切替えによるオーバヘッドの時間は無視するものとする。,20,30,40,50,ア,24-9;
85,24,10,仮想記憶方式において、記憶保護を実現するために、階層的に保護レベルを設定し、自分の属する階層よりも高い階層へのアクセスを禁止するものはどれか。,ドメイン,ページキー,リング,割込み禁止,ウ,;
